Designator,Mid X,Mid Y,Layer,Rotation
D3,115.3,-50.5,bottom,0
D4,119.4,-57.3,bottom,180
D6,130.7,-50.5,bottom,180
D7,133.5,-57.3,bottom,180
D9,119.4,-59.7,bottom,0
D10,118,-67,bottom,180
D12,133.2,-76.5,bottom,180
D13,133.6,-69.9,bottom,180
D15,127.4,-59.8,bottom,0
D16,133.4,-66.9,bottom,180
D18,114.9,-69.4,bottom,0
D19,118.6,-76.4,bottom,180
D21,119.4,-41.2,bottom,0
D22,119.1,-47.7,bottom,180
D24,127.7,-41,bottom,180
D25,127.7,-47.8,bottom,0
D27,127.6,-80.1,bottom,180
D28,118.9,-79.9,bottom,0
Q1,116.5,-53.9,bottom,180
Q2,130.7,-54,bottom,0
Q3,117.1375,-64.1,bottom,180
Q4,131.0375,-73.3,bottom,180
Q5,130.6,-63.9,bottom,0
Q6,117.7625,-73.1,bottom,0
R1,120.225,-52.1,bottom,180
R2,115.3,-57.1,bottom,180
R3,120.2,-50.4,bottom,180
R4,112.5,-56.975,bottom,-90
R5,126.675,-56.1,bottom,0
R6,134.6,-51,bottom,90
R7,129.425,-57.7,bottom,180
R8,126.7,-50,bottom,180
R9,120.2,-61.6,bottom,180
R10,113.6,-59.9,bottom,0
R11,113.8,-61.5,bottom,0
R12,113.525,-66.9,bottom,180
R13,129.1,-75.9,bottom,180
R14,129.575,-70.7,bottom,180
R15,126.8,-69,bottom,180
R16,126.6,-77.2,bottom,-90
R17,126.7,-65.6,bottom,0
R18,133.8,-60.6,bottom,180
R19,126.9,-61.8,bottom,0
R20,127.3,-67.4,bottom,180
R21,120.275,-69.7,bottom,180
R22,114.2,-75.4,bottom,0
R23,113.7,-71.4,bottom,0
R24,112.8,-77.4,bottom,180
R26,114.7,-47.7,bottom,0
R28,114.7,-41.2,bottom,180
R30,132.175,-41,bottom,180
R32,132.175,-47.8,bottom,0
R34,120.3,-84.4,bottom,-90
R36,127.5,-84.375,bottom,-90
